gamma,query_idx,trait,k,true_label,n_retrieved,match_count,match_rate,hit
0.9,17,Agreeableness,5,high,5,5,1.0,1
0.9,18,Agreeableness,5,high,5,3,0.6,1
0.9,19,Agreeableness,5,high,5,2,0.4,1
0.9,20,Agreeableness,5,low,5,0,0.0,0
0.9,21,Agreeableness,5,high,5,4,0.8,1
0.9,22,Agreeableness,5,high,5,1,0.2,1
0.9,23,Agreeableness,5,low,5,4,0.8,1
0.9,24,Agreeableness,5,low,5,0,0.0,0
0.9,25,Agreeableness,5,high,5,1,0.2,1
0.9,26,Agreeableness,5,high,5,5,1.0,1
0.9,27,Agreeableness,5,low,5,1,0.2,1
0.9,28,Agreeableness,5,low,5,5,1.0,1
0.9,29,Agreeableness,5,low,5,0,0.0,0
0.9,30,Agreeableness,5,low,5,1,0.2,1
0.9,31,Agreeableness,5,low,5,4,0.8,1
0.9,32,Agreeableness,5,high,5,0,0.0,0
0.9,33,Agreeableness,5,low,5,1,0.2,1
0.9,34,Agreeableness,5,low,5,5,1.0,1
0.9,35,Agreeableness,5,low,5,3,0.6,1
0.9,36,Agreeableness,5,high,5,4,0.8,1
0.9,37,Agreeableness,5,low,5,1,0.2,1
0.9,38,Agreeableness,5,high,5,2,0.4,1
0.9,39,Agreeableness,5,low,5,3,0.6,1
0.9,40,Agreeableness,5,low,5,1,0.2,1
0.9,41,Agreeableness,5,high,5,2,0.4,1
0.9,42,Agreeableness,5,high,5,5,1.0,1
0.9,43,Agreeableness,5,low,5,1,0.2,1
0.9,44,Agreeableness,5,high,5,4,0.8,1
0.9,45,Agreeableness,5,low,5,5,1.0,1
0.9,46,Agreeableness,5,high,5,4,0.8,1
0.9,47,Agreeableness,5,high,5,5,1.0,1
0.9,48,Agreeableness,5,low,5,1,0.2,1
0.9,49,Agreeableness,5,low,5,0,0.0,0
0.9,0,Neuroticism,5,high,5,3,0.6,1
0.9,1,Neuroticism,5,high,5,5,1.0,1
0.9,2,Neuroticism,5,high,5,4,0.8,1
0.9,3,Neuroticism,5,high,5,4,0.8,1
0.9,4,Neuroticism,5,high,5,5,1.0,1
0.9,5,Neuroticism,5,low,5,0,0.0,0
0.9,6,Neuroticism,5,low,5,1,0.2,1
0.9,7,Neuroticism,5,low,5,5,1.0,1
0.9,8,Neuroticism,5,low,5,2,0.4,1
0.9,9,Neuroticism,5,low,5,1,0.2,1
0.9,10,Neuroticism,5,low,5,0,0.0,0
0.9,11,Neuroticism,5,high,5,4,0.8,1
0.9,12,Neuroticism,5,low,5,2,0.4,1
0.9,13,Neuroticism,5,high,5,3,0.6,1
0.9,14,Neuroticism,5,high,5,5,1.0,1
0.9,15,Neuroticism,5,high,5,1,0.2,1
0.9,16,Neuroticism,5,low,5,1,0.2,1
0.9,17,Neuroticism,5,high,5,2,0.4,1
0.9,18,Neuroticism,5,low,5,0,0.0,0
0.9,19,Neuroticism,5,high,5,5,1.0,1
0.9,20,Neuroticism,5,low,5,0,0.0,0
0.9,21,Neuroticism,5,high,5,5,1.0,1
0.9,22,Neuroticism,5,low,5,0,0.0,0
0.9,23,Neuroticism,5,high,5,0,0.0,0
0.9,24,Neuroticism,5,low,5,5,1.0,1
0.9,25,Neuroticism,5,low,5,1,0.2,1
0.9,26,Neuroticism,5,high,5,5,1.0,1
0.9,27,Neuroticism,5,high,5,4,0.8,1
0.9,28,Neuroticism,5,high,5,5,1.0,1
0.9,29,Neuroticism,5,high,5,0,0.0,0
0.9,30,Neuroticism,5,high,5,4,0.8,1
0.9,31,Neuroticism,5,low,5,2,0.4,1
0.9,32,Neuroticism,5,low,5,1,0.2,1
0.9,33,Neuroticism,5,high,5,5,1.0,1
0.9,34,Neuroticism,5,high,5,5,1.0,1
0.9,35,Neuroticism,5,low,5,5,1.0,1
0.9,36,Neuroticism,5,low,5,4,0.8,1
0.9,37,Neuroticism,5,low,5,0,0.0,0
0.9,38,Neuroticism,5,low,5,2,0.4,1
0.9,39,Neuroticism,5,low,5,0,0.0,0
0.9,40,Neuroticism,5,low,5,1,0.2,1
0.9,41,Neuroticism,5,low,5,0,0.0,0
0.9,42,Neuroticism,5,high,5,5,1.0,1
0.9,43,Neuroticism,5,high,5,4,0.8,1
0.9,44,Neuroticism,5,high,5,5,1.0,1
0.9,45,Neuroticism,5,high,5,5,1.0,1
0.9,46,Neuroticism,5,low,5,4,0.8,1
0.9,47,Neuroticism,5,low,5,0,0.0,0
0.9,48,Neuroticism,5,low,5,1,0.2,1
0.9,49,Neuroticism,5,low,5,4,0.8,1
